"Species","Zone","Meand13C","Meand15N","Concd13C","Concd15N","SDd13C","SDd15N","n"
"Benthic algae","Zone 2","-23.5516666666667","10.5075","46.2558333333333","2.62916666666667","3.46912835091922","3.37835658002795","12"
"Drift","Zone 2","-24.828","13.612","47.846","3.564","0.841825397573631","2.10067132126851","5"
"Seagrass","Zone 2","-18.4185714285714","8.15285714285714","44.7657142857143","2.94071428571429","1.80086243075519","2.85543322476624","14"
"Epiphytes","Zone 2","-16.2","8.13","30","2","1","2.3029","6"
